text,label,all_old,predicao
bonecas sexuais nova gera falam tocam m sica donos china,economia,bonecas sexuais da nova geração falam e tocam música para donos na china.,economia
bono re ne macri argentina defende investir educa mulheres pobreza sexista,musica,bono se reúne com macri na argentina e defende investir em educação para mulheres: pobreza é sexista.,musica
bono re ne presidente mauricio macri ante show argentina,musica,bono se reúne com o presidente mauricio macri antes de shows na argentina.,musica
boogarins quer levar pop lado esquisito conquistar f s lady gaga rock in rio,musica,boogarins quer levar o pop para o lado esquisito para conquistar fãs de lady gaga no rock in rio.,musica
borja diz sente melhor palmeiras agradece roger,esporte,borja diz que sente-se melhor no palmeiras e agradece a roger.,esporte
borja elogia felipe melo revela papo palmeiras sobre boca bombonera,esporte,borja elogia felipe melo e revela papo no palmeiras sobre boca e bombonera.,esporte
borja mostra lado fam lia fala sobre projeto ter funda col mbia,esporte,borja mostra lado família e fala sobre projeto de ter fundação na colômbia.,carros
bosch compra startup compartilhamento carros eua,carros,bosch compra startup de compartilhamento de carros dos eua,carros
bosco declara amor incondicional pai filhos m sica in dita,musica,bosco declara amor incondicional de pai para filhos em música inédita.,musica
bosco refaz disco gravado rio bollani pianista italiano,musica,bosco refaz nação em disco gravado no rio por bollani pianista italiano.,musica
bosco vai ganhar pr mio obra grammy latino ap s lan ar lbum,musica,bosco vai ganhar prêmio pela obra no grammy latino após lançar álbum.,musica
bossa obra valle renova toque carioca orquestra atl ntica,musica,bossa da obra de valle se renova com toque da carioca orquestra atlântica.,musica
bossa jo completa ano nunca ter deixado soar nova,musica,bossa de joão completa <digit><digit> anos em <digit><digit><digit><digit> sem nunca ter deixado de soar nova.,musica
boston vence portland cesta horford ltimo segundo,esporte,boston vence portland com cesta de horford no último segundo.,esporte
bota avan acordo fla jogar nilt aluga flu copa brasil,esporte,bota avança em acordo para fla jogar no niltão e o aluga para flu na copa do brasil.,esporte
botafogo age cautela prepara bote decisivo camisa,esporte,botafogo age com cautela e prepara bote decisivo por camisa <digit>.,esporte
botafogo anuncia kieza atacante assina v nculo doi ano clube,esporte,botafogo anuncia kieza atacante assina vínculo de dois anos com o clube.,esporte
botafogo bate maca conquista primeira vit ria carioca,esporte,botafogo bate o macaé e conquista a primeira vitória no carioca.,esporte
botafogo chega acordo vit ria fecha kieza,esporte,botafogo chega a acordo com vitória e fecha com kieza.,esporte
botafogo consegue vit ria fim contra basquete cearense,esporte,botafogo consegue vitória no fim contra o basquete cearense.,esporte
botafogo gatito fern ndez iniciam conversas renova contrato,esporte,botafogo e gatito fernández iniciam conversas para renovação de contrato.,esporte
botafogo pend ncia retrospecto dourado contra rivais,esporte,botafogo é pendência em retrospecto de dourado contra rivais.,esporte
botafogo empata madureira pega fla semifinal,esporte,botafogo empata com o madureira e pega o fla na semifinal.,esporte
botafogo encara vit ria tentativa manter sequ ncia invicta nbb,esporte,botafogo encara o vitória na tentativa de manter sequência invicta no nbb.,esporte
botafogo espera fechar elenco carioca rony aguirre,esporte,botafogo espera fechar elenco para carioca com rony ou aguirre.,esporte
botafogo faz jogo duro cai pinheiros perde nbb,esporte,botafogo faz jogo duro mas cai para o pinheiros e perde mais uma no nbb.,esporte
botafogo dia negocia e n consegue avan ar rony aguirre,esporte,botafogo tem dia de negociações mas não consegue avançar por rony e aguirre.,esporte
botafogo tenta empr stimo aguirre me espera desfecho nesta semana,esporte,botafogo tenta empréstimo de aguirre por <digit><digit> meses e espera desfecho nesta semana.,esporte
botafogo tenta fechar nesta sexta centroavante sonha aguirre,esporte,botafogo tenta fechar nesta sexta com centroavante e sonha com aguirre.,esporte
botafogo vive semana decisiva rony aguirre,esporte,botafogo vive semana decisiva por rony e aguirre.,esporte
botafogo volta rio recebido xingamentos pedradas,esporte,botafogo volta ao rio recebido a xingamentos e pedradas.,esporte
botafogo jornalistas criticam patrocinador pedido demiss,esporte,botafogo: jornalistas criticam patrocinador por pedido de demissão.,politica
botafogo pb acompanha warley perto fala nova cirurgia,esporte,botafogo-pb acompanha warley de perto e fala em nova cirurgia.,esporte
botij g s cozinha fica barato refinarias partir desta sexta,economia,botijão de gás de cozinha fica <digit>% mais barato nas refinarias a partir desta sexta.,economia
botij g s cozinha ficar barato refinarias partir desta sexta,economia,botijão de gás de cozinha ficará <digit>% mais barato nas refinarias a partir desta sexta.,economia
bovespa bate novo recorde atinge pontos,economia,bovespa bate novo recorde e atinge <digit><digit>.<digit><digit><digit> pontos.,economia
bovespa cai olho cen rio externo,economia,bovespa cai <digit> <digit><digit>% de olho em cenário externo.,economia
bovespa come alta quase renova m xima hist rica,economia,bovespa começa <digit><digit><digit><digit> em alta de quase <digit>% e renova máxima histórica.,economia
bovespa fecha preg m s alta acima mil pontos,economia,bovespa fecha <digit>º pregão do mês em alta acima dos <digit><digit> mil pontos.,economia
bovespa fecha alta ap s avan reforma tribut ria eua,economia,bovespa fecha em alta após avanço de reforma tributária nos eua.,economia
bovespa fecha alta ap s governo acertar data reforma previd ncia,economia,bovespa fecha em alta após governo acertar data para reforma da previdência.,economia
bovespa fecha alta ap s quedas recentes termina semana baixa,economia,bovespa fecha em alta após quedas recentes mas termina a semana em baixa.,economia
bovespa fecha alta ap s defini data julgamento lula inst ncia,economia,bovespa fecha em alta de <digit> <digit><digit>% após definição de data para julgamento de lula em <digit>ª instância.,politica
bovespa fecha alta guiada ita vale tr gua externa,economia,bovespa fecha em alta de mais de <digit>% guiada por itaú e vale e trégua externa.,economia
bovespa fecha alta atinge novo recorde fechamento,economia,bovespa fecha em alta e atinge novo recorde de fechamento.,economia
bovespa fecha alta avan m s,economia,bovespa fecha em alta e avança mais de <digit><digit>% no mês.,economia
bovespa fecha alta nesta ter feira,economia,bovespa fecha em alta nesta terça-feira.,economia
bovespa fecha alta pen ltimo preg ano volta mil pontos,economia,bovespa fecha em alta no penúltimo pregão do ano e volta aos <digit><digit> mil pontos.,economia
bovespa fecha alta preg seguido renovando m xima fechamento,economia,bovespa fecha em alta pelo <digit><digit>º pregão seguido renovando máxima de fechamento.,economia
bovespa fecha alta acompanhando cen rio exterior,economia,bovespa fecha em alta acompanhando cenário exterior.,economia
bovespa fecha forte alta ap s condena lula julgamento recurso trf,economia,bovespa fecha em forte alta após condenação de lula em julgamento de recurso no trf<digit>.,politica
bovespa fecha leve alta olho reforma previd ncia,economia,bovespa fecha em leve alta de olho na reforma da previdência.,economia
bovespa fecha leve alta renova m xima hist rica fechamento,economia,bovespa fecha em leve alta e renova máxima histórica de fechamento.,economia
bovespa fecha queda ap s confirma adiamento reforma previd ncia,economia,bovespa fecha em queda após confirmação de adiamento da reforma da previdência.,economia
bovespa fecha queda ap s not cia adiamento reforma previd ncia,economia,bovespa fecha em queda após notícia de adiamento da reforma da previdência para <digit><digit><digit><digit>.,economia
bovespa fecha queda cautela torno previd ncia ap s ganhos recentes,economia,bovespa fecha em queda com cautela em torno de previdência e após ganhos recentes.,economia
bovespa fecha queda cautela situa fiscal,economia,bovespa fecha em queda com cautela por situação fiscal.,economia
bovespa fecha queda cena externa negativa,economia,bovespa fecha em queda de <digit> <digit><digit>% com cena externa negativa.,economia
bovespa fecha queda embraer alta acima,economia,bovespa fecha em queda de <digit> <digit>% embraer tem alta acima de <digit>%.,economia
bovespa fecha queda,economia,bovespa fecha em queda de mais de <digit>%.,economia
bovespa fecha queda,economia,bovespa fecha em queda de mais de <digit>%.,economia
bovespa fecha queda acompanhando mau humor externo,economia,bovespa fecha em queda de mais de <digit>% acompanhando mau humor externo.,economia
bovespa fecha queda dia seguido,economia,bovespa fecha em queda pelo <digit>º dia seguido.,economia
bovespa fecha queda receios sobre apoio reforma previd ncia,economia,bovespa fecha em queda por receios sobre apoio à reforma da previdência.,economia
bovespa fecha praticamente est vel dia agenda tranquila,economia,bovespa fecha praticamente estável em dia de agenda tranquila.,economia
bovespa fecha quase est vel ap s corte nota cr dito brasil,economia,bovespa fecha quase estável após corte da nota de crédito do brasil.,economia
bovespa interrompe sequ ncia recordes fecha baixa nesta quinta feira,economia,bovespa interrompe sequência de recordes e fecha em baixa nesta quinta-feira.,economia
bovespa opera alta ltimo preg ano,economia,bovespa opera em alta no último pregão do ano.,economia
bovespa oscila lula eua radar,economia,bovespa oscila com lula e eua no radar.,economia
bovespa recua movimento ajuste ap s altas seguidas,economia,bovespa recua em movimento de ajuste após <digit><digit> altas seguidas.,economia
bovespa renova m xima hist rica encosta mil pontos,economia,bovespa renova máxima histórica e encosta nos <digit><digit> mil pontos.,economia
bovespa sobe melhora humor sobre previd ncia ganhos vale,economia,bovespa sobe mais de <digit>% com melhora em humor sobre previdência e ganhos da vale.,economia
bovespa sobe alcan novo recorde acima mil pontos,economia,bovespa sobe mais de <digit>% e alcança novo recorde acima dos <digit><digit> mil pontos.,economia
bovespa sobe ltimo preg ano acumula alta,economia,bovespa sobe no último pregão do ano e acumula alta de <digit><digit> <digit>% em <digit><digit><digit><digit>.,economia
bovespa sobe novamente fecha acima mil pontos novo recorde,economia,bovespa sobe novamente e fecha acima dos <digit><digit> mil pontos novo recorde.,economia
bovespa sobe preg seguido marca nova m xima fechamento,economia,bovespa sobe pelo <digit><digit>º pregão seguido e marca nova máxima de fechamento.,economia
bovespa sobe preg seguido renovando recorde,economia,bovespa sobe pelo <digit>º pregão seguido renovando recorde.,economia
bp salto lucros petroleiras deixando crise tr s,economia,bp tem salto nos lucros com petroleiras deixando crise para trás.,economia
br distribuidora estreia bolsa nesta sexta feira ap s levantar r bi maior ipo desde,economia,br distribuidora estreia na bolsa nesta sexta-feira após levantar r$ <digit> bi no maior ipo desde <digit><digit><digit><digit>.,economia
bradesco lan espa inova re ne startup grandes empresas veja v deo,economia,bradesco lança espaço de inovação que reúne startups e grandes empresas veja vídeo.,economia
bradesco pagar r milh e fundos pen opera greenfield,economia,bradesco pagará r$ <digit> milhões a fundos de pensão na operação greenfield.,economia
brady ganha carinho gisele foles atua memor vel rodada nfl,esporte,brady ganha carinho de gisele e foles tem atuação memorável na rodada da nfl.,esporte
branco preto s core carro buscadas brasileiros google,carros,branco e preto são as cores de carro mais buscadas por brasileiros no google,carros
brand new suspende turn esc ndalo sexual envolvendo menor idade,musica,brand new suspende turnê por escândalo sexual envolvendo menor de idade.,musica
brandon flower killer abra fot grafo palco ap s pol mica josh homme queen of the stone age,musica,brandon flowers do killers abraça fotógrafo no palco após polêmica com josh homme do queens of the stone age.,musica
brasil aceitar importa ve culos col mbia pontos ipi,carros,brasil aceitará importação de veículos da colômbia sem <digit><digit> pontos de ipi,carros
brasil adere conven oit sobre trabalhadores dom sticos,economia,brasil adere à convenção da oit sobre trabalhadores domésticos.,economia
brasil apela contra decis omc retirar sub dios ind stria,carros,brasil apela contra decisão da omc para retirar subsídios à indústria,politica
brasil aplica nova goleada sobre paraguai ante estreia grand prix futsal,esporte,brasil aplica nova goleada sobre o paraguai antes da estreia no grand prix de futsal.,esporte
brasil atua robin hood s avessas diz estudo minist rio fazenda,economia,brasil atua como robin hood às avessas diz estudo do ministério da fazenda.,economia
brasil avan aumenta chance medalha copa mundo vela,esporte,brasil avança e aumenta as chances de medalha na copa do mundo de vela.,esporte
brasil cai ranking mundial juros reais melhor posi ano,economia,brasil cai para <digit>º no ranking mundial de juros reais melhor posição em <digit><digit> anos.,economia
brasil come ano plano ind stria automotiva veja falta definir,carros,brasil começa ano sem plano para indústria automotiva veja o que falta definir,carros
brasil come ano plano ind stria automotiva veja falta definir,economia,brasil começa ano sem plano para indústria automotiva veja o que falta definir.,carros
brasil conquista quatro medalhas ouro olimp ada astronomia astron utica chile,educacao,brasil conquista quatro medalhas de ouro em olimpíada de astronomia e astronáutica no chile.,educacao
brasil pelota derrota inter mant m invencibilidade,esporte,brasil de pelotas derrota inter e mantém invencibilidade.,esporte
brasil deixou exportar mil toneladas carne frango su causa opera carne fraca diz associa,economia,brasil deixou de exportar <digit><digit><digit> mil toneladas de carne de frango e suína em <digit><digit><digit><digit> por causa da operação carne fraca diz associação.,economia
brasil deve criar at milh vagas formais desemprego deve manter estimam economistas,economia,brasil deve criar até <digit> milhão de vagas formais em <digit><digit><digit><digit> mas desemprego deve se manter em <digit><digit>% estimam economistas.,economia
brasil dobra n mero presos ano diz levantamento mil detentos n julgados,politica,brasil dobra número de presos em <digit><digit> anos diz levantamento de <digit><digit><digit> mil detentos <digit><digit>% não foram julgados.,economia
brasil ranking viol ncia contra professores entenda dado sabe sobre tema,educacao,brasil é <digit> no ranking da violência contra professores: entenda os dados e o que se sabe sobre o tema.,educacao
brasil col mbia fecham acordo automotivo igual nunca entrou vigor,carros,brasil e colômbia fecham acordo automotivo igual ao que nunca entrou em vigor,carros
brasil sexto ranking pa s multados fifa homofobia,esporte,brasil é o sexto em ranking de países mais mais multados pela fifa por homofobia.,esporte
brasil poucos pa s toler ncia zer,carros,brasil é um dos poucos países com tolerância zer,carros
brasil poucos pa s toler ncia zero lcool dire,carros,brasil é um dos poucos países com tolerância zero para álcool e direção,carros
brasil ltimos ranking aptid carros aut nomos,carros,brasil é um dos últimos em ranking de aptidão para carros autônomos,carros
brasil evita segundo janeiro vit ria pior in cio ano ufc,esporte,brasil evita segundo janeiro sem vitória mas tem seu pior início de ano no ufc.,esporte
brasil exigir testis colis lateral carros partir,carros,brasil exigirá testes de colisão lateral em carros a partir de <digit><digit><digit><digit>,carros
brasil exporta carros cerca pa s veja mapa,carros,brasil exporta carros para cerca de <digit><digit> países veja mapa,carros
brasil fatura r bilh e produ batatas,economia,brasil fatura r$ <digit> <digit> bilhões com produção de batatas em <digit><digit><digit><digit>.,economia
brasil fecha mil postos formais trabalho diz governo,economia,brasil fecha <digit><digit> <digit> mil postos formais de trabalho em <digit><digit><digit><digit> diz governo.,economia
brasil fica olimp ada internacional matem tica,educacao,brasil fica em <digit><digit>º na olimpíada internacional de matemática.,educacao
brasil ficar regime automotivo menos at fevereiro segundo secret rio minist rio ind stria,carros,brasil ficará sem regime automotivo ao menos até fevereiro segundo secretário do ministério da indústria,economia
brasil ficar regime automotivo menos at fevereiro segundo secret rio minist rio ind stria,economia,brasil ficará sem regime automotivo ao menos até fevereiro segundo secretário do ministério da indústria.,economia
brasil luta perde desafio gigantes x eua,esporte,brasil luta muito mas perde desafio gigantes do <digit>x<digit> para os eua.,esporte
brasil manifesta interesse conmebol abrigar libertadores feminina,esporte,brasil manifesta interesse à conmebol de abrigar libertadores feminina <digit><digit><digit><digit>.,esporte
brasil perde milh e linhas m veis diz anatel,economia,brasil perde <digit> <digit> milhões de linhas móveis em <digit><digit><digit><digit> diz a anatel.,economia
brasil perde reforma tribut ria trump aponta estudo,economia,brasil perde com reforma tributária de trump aponta estudo.,economia
brasil perde r bilh e ano pirataria contrabando rcio ilegal aponta estudo,economia,brasil perde r$ <digit><digit><digit> bilhões por ano com pirataria contrabando e comércio ilegal aponta estudo.,economia
brasil perde r bilh e ano pirataria contrabando rcio ilegal aponta estudo,politica,brasil perde r$ <digit><digit><digit> bilhões por ano com pirataria contrabando e comércio ilegal aponta estudo.,economia
brasil pode sair frente internet coisas diz ceo qualcomm,economia,brasil pode sair na frente em internet das coisas diz ceo da qualcomm.,economia
brasil pode viver agravado agenda reformas abandonada diz marcos lisboa,economia,brasil pode viver <digit><digit><digit><digit> <digit><digit> agravado se agenda de reformas for abandonada diz marcos lisboa.,politica
brasil s universidade top mundo diz ranking chin s,educacao,brasil só tem uma universidade entre as top <digit><digit><digit> do mundo diz ranking chinês.,educacao
brasil sofre vence rep blica tcheca conquista grand prix vez,esporte,brasil sofre mas vence a república tcheca e conquista o grand prix pela <digit><digit>ª vez.,esporte
brasil tentativa fraude cada segundos maior ndice ano diz serasa,economia,brasil tem <digit> tentativa de fraude a cada <digit><digit> segundos em <digit><digit><digit><digit> maior índice em <digit> anos diz serasa.,economia
brasil terminais reas pontuais mundo diz consultoria,economia,brasil tem <digit><digit> terminais e <digit> aéreas entre os mais pontuais do mundo diz consultoria.,economia
brasil milh e analfabetos governo quer evitar compra embraer boeing jornais sexta,politica,brasil tem <digit><digit> milhões de analfabetos governo quer evitar compra da embraer pela boeing. jornais de sexta <digit><digit> .,politica
brasil milh e analfabetos n consegue redu h tr s ano diz unesco,educacao,brasil tem <digit><digit> milhões de analfabetos e não consegue redução há três anos diz unesco.,carros
brasil modelos carros venda rodam sozinhos forma limitada veja,carros,brasil tem <digit> modelos de carros à venda que rodam sozinhos de forma limitada veja como é,carros
brasil universidades top ranking am rica latina,educacao,brasil tem <digit> universidades no top <digit><digit> de ranking da américa latina.,educacao
brasil faculdades direito china eua europa junto saiba destacar mercado,educacao,brasil tem mais faculdades de direito que china eua e europa juntos saiba como se destacar no mercado.,educacao
brasil jogadores lol astr nomos at geneticistas,esporte,brasil tem mais jogadores de lol que astrônomos e até geneticistas.,carros
brasil voa segundo tempo atropela rep blica tcheca,esporte,brasil voa no segundo tempo e atropela a república tcheca.,esporte
brasileira assume t cnica time noruega sonha sele,esporte,brasileira assume como técnica de time na noruega e sonha com seleção.,esporte
brasileiro anunciado tottenham deixa psg ap s cinco ano,esporte,brasileiro é anunciado pelo tottenham e deixa o psg após cinco anos.,esporte
brasileiro espera aumento infla diz datafolha,economia,brasileiro espera aumento da inflação diz datafolha.,economia
brasileiro precisa obedecer lei ter carro aut nomo diz engenheiro trocou google uber,carros,brasileiro precisa obedecer lei para ter carro autônomo diz engenheiro que trocou google pelo uber,carros
brasileiro sofre queda treino pode ficar jogos pyeongchang,esporte,brasileiro sofre queda em treino e pode ficar fora dos jogos de pyeongchang.,esporte
brasileiro talisca decide novamente besiktas vence campeonato turco,esporte,brasileiro talisca decide novamente e besiktas vence pelo campeonato turco.,esporte
brasileiros j pagaram r trilh e impostos,economia,brasileiros já pagaram r$ <digit> trilhões em impostos em <digit><digit><digit><digit>.,economia
brasileiros levam pr mio in dito olimp ada internacional tecnologia emocionante,educacao,brasileiros levam prêmio inédito em olimpíada internacional de tecnologia: emocionante.,educacao
brasileiros n sentem representados pol ticos exerc cio aponta pesquisa,politica,brasileiros não se sentem representados por políticos em exercício aponta pesquisa.,politica
brasileiros s selecionados confer ncia sobre brasil promovida alunos harvard mit eua,educacao,brasileiros são selecionados para conferência sobre o brasil promovida por alunos de harvard e mit nos eua.,educacao
brenner faz botafogo comemora in cio,esporte,brenner faz mais um pelo botafogo e comemora início de <digit><digit><digit><digit>.,esporte
brenner marca botafogo bate boavista encaminha vaga semifinal,esporte,brenner marca botafogo bate boavista e encaminha vaga na semifinal.,esporte
breno passa cirurgia corre joelho,esporte,breno passa por cirurgia para correção no joelho.,esporte
brexit ainda est discus sobre div rcio reino unido uni europeia,economia,brexit: o que ainda está em discussão sobre o divórcio do reino unido e da união europeia.,economia
brf anuncia nova marca mercado alimentos processados brasil,economia,brf anuncia nova marca para mercado de alimentos processados no brasil.,economia
brincadeira dizer mala r mil n crime diz janot sobre frase novo diretor pf,politica,brincadeira dizer que uma mala com r$ <digit><digit><digit> mil não é crime diz janot sobre frase de novo diretor da pf.,politica
brincadeiras abra v deo mostra ltimas imagens wallace guarani,esporte,brincadeiras e abraços: vídeo mostra últimas imagens de wallace no guarani .,esporte
brinquedo transforma palito dente arma causa preocupa china,educacao,brinquedo que transforma palito de dente em arma causa preocupação na china.,educacao
brinquedos meninos meninas experimento testa adultos refor am r tulos,educacao,brinquedos de meninos e de meninas: experimento testa como adultos reforçam rótulos.,educacao
brinquedos estrela vai investir cosm ticos livros infantis,economia,brinquedos estrela vai investir em cosméticos e livros infantis.,economia
brit award dua lipa ed sheeran dominando indica e,musica,brit awards <digit><digit><digit><digit> tem dua lipa e ed sheeran dominando indicações.,musica
brit nico declarado culpado planejar ataque terrorista show justin bieber,musica,britânico é declarado culpado por planejar ataque terrorista a show de justin bieber.,musica
britney spear vende pintura leil beneficente u mil,musica,britney spears vende pintura em leilão beneficente por us$ <digit><digit> mil.,economia
broadcom d in cio oferta hostil assumir qualcomm,economia,broadcom dá início a oferta hostil para assumir qualcomm.,economia
broadcom eleva oferta compra qualcomm u bilh e,economia,broadcom eleva oferta de compra da qualcomm para us$ <digit><digit><digit> bilhões.,economia
brookfield comprar empresa nuclear toshiba eua u s bi,economia,brookfield comprará empresa nuclear da toshiba nos eua por u$s <digit> <digit> bi.,economia
brown mixa frica anitta baticum eletr nica lbum semelhantes,musica,brown mixa áfrica anitta baticum e eletrônica no álbum semelhantes.,musica
brt deu conta recado ap s fim primeira noite rock in rio,musica,brt deu conta do recado após o fim da primeira noite de rock in rio.,musica
brt divulga esquema transporte rock in rio,musica,brt divulga esquema de transporte para o rock in rio <digit><digit><digit><digit>.,musica
brt notificar prefeitura causa camel s terminal,musica,brt notificará prefeitura por causa de camelôs em terminal e estação.,economia
brt esquema especial receber mil pessoas dia rock in rio,musica,brt tem esquema especial para receber <digit><digit><digit> mil pessoas por dia no rock in rio.,musica
brt transporta mil pessoas dia rock in rio,musica,brt transporta <digit><digit> mil pessoas no <digit>º dia do rock in rio.,musica
brt transporta mil pessoas rock in rio alvo vandalismo,musica,brt transporta mais de <digit><digit><digit> mil pessoas no rock in rio e é alvo de vandalismo.,musica
brt transportou mil pessoas segundo dia rock in rio,musica,brt transportou <digit><digit> mil pessoas no segundo dia de rock in rio.,musica
bruce springsteen estende turn broadway ap s ingressos esgotarem rapidamente,musica,bruce springsteen estende turnê na broadway após ingressos esgotarem rapidamente.,musica
bruce springsteen levar show s palavras m sica broadway,musica,bruce springsteen levará show só com palavras e música à broadway.,musica
bruna vieira escritora blogueira youtuber d tr s dicas reda enem,educacao,bruna vieira - escritora blogueira e youtuber - dá três dicas para a redação do enem.,educacao
bruno ara jo diz deixou governo busca uni psdb,politica,bruno araújo diz que deixou governo em busca de união no psdb.,politica
bruno ara jo pediu sair governo antecipando demiss,politica,bruno araújo pediu para sair do governo se antecipando à demissão.,politica
bruno ara jo ministros psdb t m maturidade compreender momento partido viver,politica,bruno araújo: ministros do psdb têm maturidade para compreender momento que partido viverá.,politica
bruno capinan lan faixa japonesa brasil cria can protesto,musica,bruno capinan lança faixa japonesa no brasil e cria canção de protesto.,musica
bruno marrone falam sobre dvd pitada novo sertanejo n imaginava cantando,musica,bruno e marrone falam sobre dvd com pitada de novo sertanejo: não me imaginava cantando isso.,musica
bruno gadiol malha relembra the voice diz quase j tremeu medo cantar,musica,bruno gadiol de malhação relembra the voice e diz que quase já tremeu de medo para cantar.,musica
bruno henrique desfalca santos contra palmeiras victor ferraz d vida,esporte,bruno henrique desfalca santos contra o palmeiras victor ferraz é dúvida.,esporte
bruno ilogti diretor clipe cara fala sobre cenas cortadas ap s cobran cena cobra,musica,bruno ilogti diretor do clipe de sua cara fala sobre cenas cortadas após cobranças de cena da cobra.,musica
bruno mar grande vencedor grammy,musica,bruno mars é o grande vencedor do grammy <digit><digit><digit><digit>.,musica
bruno mar lan vers remix finesse parceria cardi b,musica,bruno mars lança versão remix de finesse em parceria com cardi b.,musica
bruno mar lev sp pista dan vai sarrada rom ntico,musica,bruno mars leva a sp pista de dança que vai da sarrada ao romântico.,musica
bruno mar brasil ingressos setlist tudo voc precisa saber sobre show,musica,bruno mars no brasil: ingressos setlist e tudo o que você precisa saber sobre os shows.,musica
bruno martini autor maior hit nacional spotify engenheiro ex disney filho cara double you,musica,bruno martini: autor do maior hit nacional do spotify é engenheiro ex-disney e filho de um cara do double you.,musica
bruno soares vence duplas mistas avan fase aberto austr lia,esporte,bruno soares vence nas duplas mistas e avança para <digit>ª fase do aberto da austrália.,esporte
brunson provoca jacar encarada brasileiro responde,esporte,brunson provoca jacaré na encarada e brasileiro responde.,esporte
brunson torce vit ria sobre jacar leve disputa cintur m dios,esporte,brunson torce para que vitória sobre jacaré leve à disputa de cinturão dos médios.,esporte
b falos turu luta iuri ildemar maraj voltam s origen soure,esporte,búfalos turu e luta: iuri e ildemar marajó voltam às origens em soure.,esporte
bugatti chiron faz s busca recorde mundial,carros,bugatti chiron faz <digit>-<digit><digit><digit>-<digit> em <digit><digit>s e busca recorde mundial em <digit><digit><digit><digit>,esporte
bugatti chiron ganha vers lego pe,carros,bugatti chiron ganha versão em lego com <digit>.<digit><digit><digit> peças,carros
burle sobre barco virado maverick corremos riscos tempo todo,esporte,burle sobre barco virado em mavericks: corremos riscos o tempo todo.,esporte
burro morde carro esportivo alemanha dono pagar indeniza,carros,burro morde carro esportivo na alemanha e dono tem que pagar indenização,carros
busca consumidor cr dito maior alta ltimos ano diz serasa experian,economia,busca do consumidor por crédito tem maior alta dos últimos <digit> anos diz serasa experian.,economia
cabify foca consolidar opera brasil expans pa s diz presidente,economia,cabify foca em consolidar operação no brasil depois de expansão no país em <digit><digit><digit><digit> diz presidente.,economia
cabify rival uber anuncia investimento u milh e brasil,carros,cabify rival da uber anuncia investimento de us$ <digit><digit><digit> milhões no brasil,carros
cabral pede stf transferido rio gilmar mendes relator,politica,cabral pede ao stf para ser transferido para o rio gilmar mendes é o relator.,politica
cabral pede desculpas popula rj uso caixa sobra caixa,politica,cabral pede desculpas à população do rj pelo uso de caixa <digit> e de sobra de caixa <digit>.,politica
cactos caatinga s utilizados culin ria pernambuco,economia,cactos da caatinga são utilizados na culinária em pernambuco.,esporte
cadastramento escolar divin polis termina dia junho,educacao,cadastramento escolar em divinópolis termina no dia <digit><digit> de junho.,educacao
cad anitta metal curtiu pabllo roberta medina faz balan fim semana rock in rio,musica,cadê anitta sem metal curtiu pabllo roberta medina faz balanço do <digit>º fim de semana de rock in rio.,musica
cade aprova aquisi ativos sabb pa petrobras distribuidora,economia,cade aprova aquisição de ativos da sabbá no pa pela petrobras distribuidora.,economia
cade aprova aquisi ferbasa complexo lico santander brasil,economia,cade aprova aquisição pela ferbasa de complexo eólico do santander brasil.,economia
cade aprova compra itamb grupo franc s lactalis,economia,cade aprova compra da itambé pelo grupo francês lactalis.,economia
cade aprova compra controle car rental system localiza,carros,cade aprova compra de controle da car rental systems pela localiza,economia
cade aprova compra marcas dako atlas eletrodom sticos,economia,cade aprova compra de marcas dako pela atlas eletrodomésticos.,economia
cade aprova compra plataforma digital previd ncia subsidi ria bb seguridade,economia,cade aprova compra de plataforma digital de previdência por subsidiária da bb seguridade.,economia
cade aprova compra sau pe thermas rio quente,economia,cade aprova compra de sauípe por thermas do rio quente.,economia
cade aprova compra grupo cruzeiro sul operadora plano sa interm dica,economia,cade aprova compra do grupo cruzeiro do sul por operadora de planos de saúde intermédica.,economia
cade aprova nova venda fatia odebrecht gale excelente,economia,cade aprova nova venda de fatia da odebrecht no galeão para excelente.,economia
cade aprova parceria copersucar bp operar terminal etanol sp,economia,cade aprova parceria entre copersucar e bp para operar terminal de etanol em sp.,economia
cade aprova parceria grupo icatu unidade t tulos capitaliza bnp paribas,economia,cade aprova parceria entre grupo icatu e unidade de títulos de capitalização do bnp paribas.,economia
cade aprova restri e aquisi nidera seed syngenta,economia,cade aprova sem restrições aquisição da nidera seeds pela syngenta.,economia
cade aprova restri e compra facepa suzano,economia,cade aprova sem restrições compra da facepa pela suzano.,economia
cade aprova restri e compra lojas puket imaginarium,economia,cade aprova sem restrições compra da lojas puket pela imaginarium.,economia
cade aprova restri e compra subsidi ria odebrecht fundo g,economia,cade aprova sem restrições compra de subsidiária da odebrecht por fundo <digit>g.,economia
cade aprova restri e compra votorantim siderurgia arcelormittal,economia,cade aprova com restrições compra da votorantim siderurgia pela arcelormittal.,economia
cade aprova restri e fus monsanto bayer,economia,cade aprova com restrições fusão entre monsanto e bayer.,economia
cade aprova restri e opera petrobras petrotemex,economia,cade aprova com restrições operação entre petrobras e petrotemex.,economia
cade arquiva processo apurava conduta anticompetitiva montadoras,carros,cade arquiva processo que apurava conduta anticompetitiva de montadoras,carros
cade declara complexa fus luxxotica essilor,economia,cade declara complexa fusão de luxxotica e essilor.,economia
